Brand,Channel,MerchantId,MerchantName,MerchantUrl,Priority,Synonym,Staging (Mostly),Setup
Soundtech,Tokopedia,12397182,SOUNDTECH OFFICIAL,https://www.tokopedia.com/soundtech,2,soundtech,"Audio, Computer, Electronics, Smartphone",2025-01-01
Soundtech,Shopee,519356333,SOUNDTECH OFFICIAL,https://shopee.co.id/soundtechofficial,2,soundtech,"Audio, Computer, Electronics, Smartphone",2025-01-01
Spc,Shopee,25527181,SPC Indonesia Official,https://shopee.co.id/spcmobile,2,spc,"Audio, Computer, Electronics, Smartphone",2025-01-01
Spc,Tokopedia,281265,SPC Indonesia Official,https://www.tokopedia.com/spcindonesia,2,spc,"Audio, Computer, Electronics, Smartphone",2025-01-01
ST.TREE,Tokopedia,16232003,ST.TREE,https://www.tokopedia.com/st-tree,2,st tree,"Beauty, PersonalCare",2025-03-24
Starco,Tokopedia,757914,STARCOOL Official Store,https://www.tokopedia.com/starcoolofficial,2,starco,"Audio, Computer, Electronics, Smartphone",2025-01-01
Studio Tropik,Tokopedia,2768047,STUDIO TROPIK,https://www.tokopedia.com/studiotropik,2,studio tropik,"Beauty, PersonalCare",2025-03-24
Studio Tropik,Tokopedia,2768047,STUDIO TROPIK,https://www.tokopedia.com/studiotropik,2,studio tropik,"Beauty, PersonalCare",2025-03-24
Suunto,Tokopedia,402327,SUUNTO,https://www.tokopedia.com/suunto,2,suunto,"Audio, Computer, Electronics, Smartphone",2025-01-01
Swissdent,Shopee,117769074,SWISSDENT OFFICIAL,https://shopee.co.id/shop/117769074,2,swissdent,"Beauty, PersonalCare",2025-03-24
Sabbat,Tokopedia,11109768,Sabbat Indonesia,https://www.tokopedia.com/sabbat,2,sabbat,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sabbat,Shopee,406525205,Sabbat Official Shop,https://shopee.co.id/sabbat_indonesia,2,sabbat,"Audio, Computer, Electronics, Smartphone",2025-01-01
Salsa Cosmetics,Lazada,400593234399,Salsa Cosmetic,https://www.lazada.co.id/shop/profileVm?sellerId=400593234399&shopId=1604782&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,salsa cosmetics,"Beauty, PersonalCare",2025-03-25
Salsa Cosmetics,Tiktok,7494083455581455995,Salsa Cosmetic,aweme://user/profile/7494083455581455995,2,salsa cosmetics,"Beauty, PersonalCare",2025-03-25
Salsa Cosmetics,Tokopedia,863717,Salsa Cosmetic,https://www.tokopedia.com/salsacosmetics,2,salsa cosmetics,"Beauty, PersonalCare",2025-03-25
Salsa Cosmetics,Shopee,17318245,Salsa Cosmetic Official Shop,https://shopee.co.id/shop/17318245,2,salsa cosmetics,"Beauty, PersonalCare",2025-03-25
Salsa Cosmetics,Blibli,SAC-46428,Salsa Cosmetics Official Store,https://www.blibli.com/merchant/salsa-cosmetics-official-store/SAC-46428,2,salsa cosmetics,"Beauty, PersonalCare",2025-03-25
Samsung,Tiktok,7494083571946522605,Samsung,aweme://user/profile/7494083571946522605,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Lazada,1000001044,Samsung,https://www.lazada.co.id/shop/profileVm?sellerId=1000001044&shopId=11905&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Tokopedia,11694144,Samsung Electronics Authorized Store,https://www.tokopedia.com/samsungelectronicsstores,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Lazada,400726314532,Samsung Exclusive,https://www.lazada.co.id/shop/profileVm?sellerId=400726314532&shopId=5373220&lang=en&host=//https://www.lazada.co.id/shop&_wx_tpl=https://laz-g-cdn.alicdn.com/lazada-decorate/shop-profile/0.3.16/index.js&siteLocale=null&profileVmNewFlag=true,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Shopee,846350612,Samsung Exclusive Official Store,https://shopee.co.id/samsungexclusive.os,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Blibli,SAE-70493,Samsung Exclusive Official Store,https://www.blibli.com/merchant/samsung-exclusive-official-store/SAE-70493,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Tokopedia,14649728,Samsung Exclusive Official Store,https://www.tokopedia.com/samsungexclusivestore,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Blibli,SAO-60113,Samsung Home Appliances Official Store,https://www.blibli.com/merchant/samsung-home-appliances-official-store/SAO-60113,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Tokopedia,3995326,Samsung Monitor Official,https://www.tokopedia.com/samsung-official,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Shopee,551837787,Samsung Monitor Official Shop,https://shopee.co.id/shop/551837787,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Blibli,SAM-70365,Samsung Monitor Official Store,https://www.blibli.com/merchant/samsung-monitor-official-store/SAM-70365,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Shopee,52635036,Samsung Official Shop,https://shopee.co.id/samsung.official,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Bukalapak,508397408,Samsung Official Store,https://www.bukalapak.com/u/samsungos,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Tokopedia,11462505,Samsung Official Store,https://www.tokopedia.com/samsung,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Samsung,Blibli,SAO-60034,Samsung Official Store,https://www.blibli.com/merchant/samsung-official-store/SAO-60034,2,samsung,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sandrella,Shopee,107919794,Sandrella Official Store,https://shopee.co.id/shop/107919794,2,sandrella,"Beauty, PersonalCare",2025-03-24
Sanken,Blibli,SAH-70180,Sanken Home Appliances Official Store,https://www.blibli.com/merchant/sanken-home-appliances-official-store/SAH-70180,2,sanken,"Audio, Computer, Electronics, Smartphone",2025-01-01
Sanken,Shopee,59886651,Sanken Official Shop,https://shopee.co.id/sankenofficial,2,sanken,"Audio, Computer, Electronics, Smartphone",2025-01-01
